1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6293,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1291,0.2466,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8219,0.5751,0.1791,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3224,0.659,0.8159,0.9896,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6718,0.3289,0.6411,0.6257,0.5375,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2579,0.7213,0.6451,0.7696,0.1638,0.2791,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7658,0.8727,0.2947,0.3176,0.17,0.6805,0.6905,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8244,0.7397,0.8077,0.7893,0.8923,0.5262,0.1406,0.7504,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3686,0.0681,0.9364,0.6447,0.5692,0.7771,0.0984,0.8503,0.826,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9929,0.138,0.9059,0.4598,0.4348,0.9278,0.2475,0.3468,0.1098,0.4756,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2929,0.6003,0.5496,0.043,0.665,0.6076,0.9443,0.2301,0.2229,0.8101,0.672,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3574,0.1029,0.4164,0.7623,0.121,0.6759,0.3065,0.3598,0.3696,0.5721,0.0335,0.5162,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7655,0.6884,0.1384,0.0853,0.4631,0.6557,0.2647,0.1882,0.2823,0.6946,0.6889,0.8345,0.8415,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4007,0.732,0.804,0.1537,0.9201,0.4083,0.9773,0.8059,0.7959,0.3541,0.6482,0.0181,0.3894,0.0357,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7519,0.2336,0.265,0.2945,0.5397,0.7976,0.8732,0.0966,0.3809,0.4375,0.2834,0.5768,0.1179,0.7712,0.517,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0896,0.8648,0.5321,0.2464,0.3951,0.0078,0.5389,0.5045,0.5402,0.4734,0.7237,0.1062,0.395,0.9159,0.195,0.9933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
